MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
1-00007-7501,735-R1,1 COENTIES SLIP,1,10004,40.703627,-74.010607,1,1,9,1077806,1000077501,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R9-CONDOPS,42,1920,36500,1277500,35,5950000,163,1-00065-0006,21 MAIDEN LANE,FINANCIAL,D6-ELEVATOR,32,1900,37800,1340000,35.4,6240000,165,0.45,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,61,1929,57941,2260000,39,11100000,192,0.4
1-00008-7501,1822-R1,39 WHITEHALL STREET,1,10004,40.703037,-74.012969,1,1,9,1087700,1000087501,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,78,1985,126420,5688900,45,27900000,221,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,123,1997,130568,5126000,39.3,25200000,193,0.9,1-00170-0001,336 BROADWAY,CIVIC CENTER,D6-ELEVATOR,151,1999,139697,7168000,51,35200000,252,1.05
1-00015-7502,1557-R1,20 WEST STREET,1,10004,40.706358,-74.016151,1,1,13,1087243,1000157502,Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,282,1930,249076,10212116,41,50100001,201,1-00042-0001,100 MAIDEN LANE,FINANCIAL,D6-ELEVATOR,342,1930,290116,12283000,42.3,60300000,208,0.45,1-00027-0009,63 WALL STREET,FINANCIAL,D5-ELEVATOR,482,1929,390531,17218000,44.1,84500000,216,0.4
1-00016-7501,308-R1,377 RECTOR PLACE,1,10280,40.709506,-74.018002,1,1,31704,1000061,1000167501,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,239,1985,219495,8779800,40,43100005,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0
1-00016-7502,313-R1,320 ALBANY STREET,1,10280,40.710165,-74.016751,1,1,31704,1000301,1000167502,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,133,1986,139719,5588760,40,27399999,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0
1-00016-7503,385-R1,250 SOUTH END AVENUE,1,10280,40.709709,-74.01656,1,1,31704,1065089,1000167503,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,109,1985,105000,4200000,40,20600009,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0
1-00016-7504,360-R1,300 ALBANY STREET,1,10280,40.710118,-74.016574,1,1,31704,1000436,1000167504,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,107,1986,87479,3499160,40,17199989,197,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0
1-00016-7505,371-R1,380 RECTOR PLACE,1,10280,40.709311,-74.017764,1,1,31704,1000544,1000167505,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,247,1987,255845,10233800,40,50200004,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0
1-00016-7506,398-R1,280 RECTOR PLACE,1,10280,40.708921,-74.016505,1,1,31704,1065199,1000167506,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,121,1985,106129,4245160,40,20800003,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0
1-00016-7507,450-R1,300 RECTOR PLACE,1,10280,40.709097,-74.017104,1,1,31704,1065321,1000167507,Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,154,1986,126008,5040320,40,24700011,196,1-00016-0015,50 BATTERY PLACE,TRIBECA,D8-ELEVATOR,209,1998,239165,6736000,28.2,27900000,117,0,1-00016-0205,455 NORTH END AVENUE,TRIBECA,D8-ELEVATOR,218,1998,239185,15723000,66,77200000,323,0
